# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	Автокефалия	ru-RU	
	Агапа	ru-RU	
	Агиасма	ru-RU	
	Агиография	ru-RU	
	Агиология	ru-RU	
	Агнец Божий	ru-RU	
	Агнец евхаристический	ru-RU	
	Аллилуиарий	ru-RU	
	Алтарник	ru-RU	
	Алтарь	ru-RU	
	Амартология	ru-RU	
	Амвон	ru-RU	
	Анаволий	ru-RU	
	Аналав	ru-RU	
	Аналой	ru-RU	
	Анамнезис	ru-RU	
	Анафема	ru-RU	
	Анафематизмы	ru-RU	
	Анафора	ru-RU	
	Анахорет	ru-RU	
	Антидор	ru-RU	
	Антиминс	ru-RU	
	Антипасха	ru-RU	
	Антифон	ru-RU	
	Апокалипсис	ru-RU	
	Апокатастасис	ru-RU	
	Апокриф	ru-RU	
	Апологетика	ru-RU	
	Апологеты	ru-RU	
	Апостасия	ru-RU	
	Апостол	ru-RU	
	Апостольник	ru-RU	
	Апостольские мужи	ru-RU	
	Апостольский пост	ru-RU	
	Апостольское преемство	ru-RU	
	Апофатическое богословие	ru-RU	
	Ареопагитики	ru-RU	
	Артос	ru-RU	
	Архангел	ru-RU	
	Архидиакон	ru-RU	
	Архиепископ	ru-RU	
	Архиерей	ru-RU	
	Архиерейский собор	ru-RU	
	Архимандрит	ru-RU	
	Архипастырь	ru-RU	
	Архистратиг	ru-RU	
	Аскетизм	ru-RU	
	Аскетика	ru-RU	
	Афон	ru-RU	
	Баптистерий	ru-RU	
	Бдение	ru-RU	
	Белое духовенство	ru-RU	
	Бессмертие	ru-RU	
	Бессребреник	ru-RU	
	Бесстрастие	ru-RU	
	Библеистика	ru-RU	
	Библейская археология	ru-RU	
	Библейская нумерология	ru-RU	
	Библейская христология	ru-RU	
	Библейский канон	ru-RU	
	Библия	ru-RU	
	Било	ru-RU	
	Благоверный	ru-RU	
	Благовест	ru-RU	
	Благовещение	ru-RU	
	Благодатный огонь	ru-RU	
	Благодать	ru-RU	
	Благоговение	ru-RU	
	Благодушие	ru-RU	
	Благословение	ru-RU	
	Благочестие	ru-RU	
	Благочиние	ru-RU	
	Благочинный	ru-RU	
	Блаженны	ru-RU	
	Блаженный	ru-RU	
	Блаженство	ru-RU	
	Бог Дух Святой	ru-RU	
	Бог Отец	ru-RU	
	Бог Сын	ru-RU	
	Боговедение	ru-RU	
	Боговидение	ru-RU	
	Боговоплощение	ru-RU	
	Боговселение	ru-RU	
	Богодухновенность	ru-RU	
	Богоизбранный народ	ru-RU	
	Богоискательство	ru-RU	
	Богомужное действие	ru-RU	
	Богомыслие	ru-RU	
	Богоносный	ru-RU	
	Богообщение	ru-RU	
	Богооставленность	ru-RU	
	Богоотступничество	ru-RU	
	Богоотцы	ru-RU	
	Богоподобие	ru-RU	
	Богопознание	ru-RU	
	Богопочитание	ru-RU	
	Богоприсутствие	ru-RU	
	Богородица	ru-RU	
	Богородице Дево	ru-RU	
	Богородичен	ru-RU	
	Богословие	ru-RU	
	Богословские школы	ru-RU	
	Богослужебные книги	ru-RU	
	Богослужебные круги	ru-RU	
	Богослужебные облачения	ru-RU	
	Богослужебные предметы	ru-RU	
	Богослужение	ru-RU	
	Богослужение мирянским чином	ru-RU	
	Богоуподобление	ru-RU	
	Богоусыновление	ru-RU	
	Богохульство	ru-RU	
	Богочеловек	ru-RU	
	Богоявление	ru-RU	
	Божественная сущность	ru-RU	
	Божественное Откровение	ru-RU	
	Божественные идеи	ru-RU	
	Божественные свойства	ru-RU	
	Божественные энергии	ru-RU	
	Божественный мрак	ru-RU	
	Божество	ru-RU	
	Божие имя и божественные имена	ru-RU	
	Борьба духовная	ru-RU	
	Борьба с помыслами	ru-RU	
	Брак	ru-RU	
	Брака расторжение	ru-RU	
	Братство	ru-RU	
	Братья Господни	ru-RU	
	Брачное право	ru-RU	
