# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	автокефалия	ru-RU	
	агапа	ru-RU	
	агиасма	ru-RU	
	агиография	ru-RU	
	агиология	ru-RU	
	Агнец Божий	ru-RU	
	Агнец Евхаристический	ru-RU	
	аллилуиарий	ru-RU	
	алтарник	ru-RU	
	алтарь	ru-RU	
	амартология	ru-RU	
	амвон	ru-RU	
	анаволий	ru-RU	
	аналав	ru-RU	
	аналой	ru-RU	
	анамнезис	ru-RU	
	анафема	ru-RU	
	анафематизмы	ru-RU	
	анафора	ru-RU	
	анахорет	ru-RU	
	антидор	ru-RU	
	антиминс	ru-RU	
	Антипасха	ru-RU	
	антифон	ru-RU	
	апокалипсис	ru-RU	
	апокатастасис	ru-RU	
	апокриф	ru-RU	
	апологетика	ru-RU	
	апологеты	ru-RU	
	апостасия	ru-RU	
	Апостол	ru-RU	
	апостольник	ru-RU	
	апостольские мужи	ru-RU	
	апостольский пост	ru-RU	
	апостольское преемство	ru-RU	
	апофатическое богословие	ru-RU	
	ареопагитики	ru-RU	
	артос	ru-RU	
	архангел	ru-RU	
	архидиакон	ru-RU	
	архиепископ	ru-RU	
	архиерей	ru-RU	
	архиерейский собор	ru-RU	
	архимандрит	ru-RU	
	архипастырь	ru-RU	
	архистратиг	ru-RU	
	аскетизм	ru-RU	
	аскетика	ru-RU	
	афон	ru-RU	
	баптистерий	ru-RU	
	Бдение	ru-RU	
	белое духовенство	ru-RU	
	бессмертие	ru-RU	
	бессребреник	ru-RU	
	бесстрастие	ru-RU	
	библеистика	ru-RU	
	библейская археология	ru-RU	
	библейская нумерология	ru-RU	
	библейская христология	ru-RU	
	библейский канон	ru-RU	
	Библия	ru-RU	
	било	ru-RU	
	благоверный	ru-RU	
	благовест	ru-RU	
	Благовещение	ru-RU	
	благодатный огонь	ru-RU	
	благодать	ru-RU	
	благоговение	ru-RU	
	благодушие	ru-RU	
	благословение	ru-RU	
	благочестие	ru-RU	
	благочиние	ru-RU	
	благочинный	ru-RU	
	блаженны	ru-RU	
	блаженный	ru-RU	
	блаженство	ru-RU	
	Бог Дух Святой	ru-RU	
	Бог Отец	ru-RU	
	Бог Сын	ru-RU	
	Бог	ru-RU	
	боговедение	ru-RU	
	боговидение	ru-RU	
	боговоплощение	ru-RU	
	боговселение	ru-RU	
	богодухновенность	ru-RU	
	богоизбранный народ	ru-RU	
	богоискательство	ru-RU	
	богомужное действие	ru-RU	
	богомыслие	ru-RU	
	богоносный	ru-RU	
	богообщение	ru-RU	
	богооставленность	ru-RU	
	богоотступничество	ru-RU	
	богоотцы	ru-RU	
	богоподобие	ru-RU	
	богопознание	ru-RU	
	богопочитание	ru-RU	
	богоприсутствие	ru-RU	
	Богородица	ru-RU	
	Богородице Дево	ru-RU	
	богородичен	ru-RU	
	богословие	ru-RU	
	богословские школы	ru-RU	
	богослужебные книги	ru-RU	
	богослужебные круги	ru-RU	
	богослужебные облачения	ru-RU	
	богослужебные предметы	ru-RU	
	богослужение	ru-RU	
	богослужение мирянским чином	ru-RU	
	богоуподобление	ru-RU	
	богоусыновление	ru-RU	
	богохульство	ru-RU	
	Богочеловек	ru-RU	
	Богоявление	ru-RU	
	Божественная Сущность	ru-RU	
	Божественное Откровение	ru-RU	
	Божественные Идеи	ru-RU	
	Божественные Свойства	ru-RU	
	Божественные Энергии	ru-RU	
	божественный мрак	ru-RU	
	Божество	ru-RU	
	Божие Имя	ru-RU	
	борьба духовная	ru-RU	
	борьба с помыслами	ru-RU	
	брак	ru-RU	
	брака расторжение	ru-RU	
	братство	ru-RU	
	братья Господни	ru-RU	
	брачное право	ru-RU	
