# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	Бог	ru-RU	
	Бога	ru-RU	
	Богу	ru-RU	
	Богом	ru-RU	
	Боге	ru-RU	
	Господа	ru-RU	
	Господу	ru-RU	
	Господом	ru-RU	
	Господь	ru-RU	
	Иисус Христос	ru-RU	
	Иисуса Христа	ru-RU	
	Иисусу Христу	ru-RU	
	Иисусом Христом	ru-RU	
	Богородица	ru-RU	
	Богородицы	ru-RU	
	Богородице	ru-RU	
	Богородицу	ru-RU	
	Богородицей	ru-RU	
	церковь	ru-RU	
	церкви	ru-RU	
	церкви	ru-RU	
	церковь	ru-RU	
	церковью	ru-RU	
	литургия	ru-RU	
	литургии	ru-RU	
	литургию	ru-RU	
	литургией	ru-RU	
	евхаристия	ru-RU	
	евхаристии	ru-RU	
	евхаристию	ru-RU	
	евхаристией	ru-RU	
	причастие	ru-RU	
	причастия	ru-RU	
	причастию	ru-RU	
	причастием	ru-RU	
	исповедь	ru-RU	
	исповеди	ru-RU	
	исповедью	ru-RU	
	благодать	ru-RU	
	благодати	ru-RU	
	благодатью	ru-RU	
	благословение	ru-RU	
	благословения	ru-RU	
	благословению	ru-RU	
	благословением	ru-RU	
	благословении	ru-RU	
	молитва	ru-RU	
	молитвы	ru-RU	
	молитве	ru-RU	
	молитву	ru-RU	
	молитвой	ru-RU	
	апостол	ru-RU	
	апостола	ru-RU	
	апостолу	ru-RU	
	апостолом	ru-RU	
	апостоле	ru-RU	
	архиерей	ru-RU	
	архиерея	ru-RU	
	архиерею	ru-RU	
	архиереем	ru-RU	
	архиерее	ru-RU	
	священник	ru-RU	
	священника	ru-RU	
	священнику	ru-RU	
	священником	ru-RU	
	священнике	ru-RU	
	иерей	ru-RU	
	иерея	ru-RU	
	иерею	ru-RU	
	иереем	ru-RU	
	иерее	ru-RU	
	пресвитер	ru-RU	
	пресвитера	ru-RU	
	пресвитеру	ru-RU	
	пресвитером	ru-RU	
	пресвитере	ru-RU	
	диакон	ru-RU	
	диакона	ru-RU	
	диакону	ru-RU	
	диаконом	ru-RU	
	диаконе	ru-RU	
	алтарь	ru-RU	
	алтаря	ru-RU	
	алтарю	ru-RU	
	алтарём	ru-RU	
	алтаре	ru-RU	
	престол	ru-RU	
	престола	ru-RU	
	престолу	ru-RU	
	престолом	ru-RU	
	престоле	ru-RU	
	храм	ru-RU	
	храма	ru-RU	
	храму	ru-RU	
	храмом	ru-RU	
	храме	ru-RU	
	богослужение	ru-RU	
	богослужения	ru-RU	
	богослужению	ru-RU	
	богослужением	ru-RU	
	богослужении	ru-RU	
	икона	ru-RU	
	иконы	ru-RU	
	иконе	ru-RU	
	икону	ru-RU	
	иконой	ru-RU	
	иконостас	ru-RU	
	иконостаса	ru-RU	
	иконостасу	ru-RU	
	иконостасом	ru-RU	
	иконостасе	ru-RU	
	амвон	ru-RU	
	амвона	ru-RU	
	амвону	ru-RU	
	амвоном	ru-RU	
	амвоне	ru-RU	
	антиминс	ru-RU	
	антиминса	ru-RU	
	антиминсу	ru-RU	
	антиминсом	ru-RU	
	антиминсе	ru-RU	
	потир	ru-RU	
	потира	ru-RU	
	потиру	ru-RU	
	потиром	ru-RU	
	потире	ru-RU	
	дискос	ru-RU	
	дискоса	ru-RU	
	дискосу	ru-RU	
	дискосом	ru-RU	
	дискосе	ru-RU	
	просфора	ru-RU	
	просфоры	ru-RU	
	просфоре	ru-RU	
	просфору	ru-RU	
	просфорой	ru-RU	
	кадило	ru-RU	
	кадила	ru-RU	
	кадилу	ru-RU	
	кадилом	ru-RU	
	кадиле	ru-RU	
	ладан	ru-RU	
	ладана	ru-RU	
	ладану	ru-RU	
	ладаном	ru-RU	
	ладане	ru-RU	
	акафист	ru-RU	
	акафиста	ru-RU	
	акафисту	ru-RU	
	акафистом	ru-RU	
	акафисте	ru-RU	
	тропарь	ru-RU	
	тропаря	ru-RU	
	тропарю	ru-RU	
	тропарём	ru-RU	
	тропаре	ru-RU	
	кондак	ru-RU	
	кондака	ru-RU	
	кондаку	ru-RU	
	кондаком	ru-RU	
	кондаке	ru-RU	
	канон	ru-RU	
	канона	ru-RU	
	канону	ru-RU	
	каноном	ru-RU	
	каноне	ru-RU	
	псалтирь	ru-RU	
	псалтири	ru-RU	
	псалтирью	ru-RU	
	утреня	ru-RU	
	утрени	ru-RU	
	утрене	ru-RU	
	утреню	ru-RU	
	утреней	ru-RU	
	вечерня	ru-RU	
	вечерни	ru-RU	
	вечерне	ru-RU	
	вечерню	ru-RU	
	вечерней	ru-RU	
	всенощная	ru-RU	
	всенощной	ru-RU	
	всенощную	ru-RU	
	бдение	ru-RU	
	бдения	ru-RU	
	бдению	ru-RU	
	бдением	ru-RU	
	бдении	ru-RU	
	пост	ru-RU	
	поста	ru-RU	
	посту	ru-RU	
	постом	ru-RU	
	посте	ru-RU	
	говение	ru-RU	
	говения	ru-RU	
	говению	ru-RU	
	говением	ru-RU	
	говении	ru-RU	
	покаяние	ru-RU	
	покаяния	ru-RU	
	покаянию	ru-RU	
	покаянием	ru-RU	
	покаянии	ru-RU	
