# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	уважение	ru-RU	
	умиление	ru-RU	
	умное делание	ru-RU	
	уныние	ru-RU	
	упование	ru-RU	
	Успение	ru-RU	
	Успенский пост	ru-RU	
	устав	ru-RU	
	устав монашеский	ru-RU	
	усыновление Богу	ru-RU	
	утешение	ru-RU	
	Утешитель	ru-RU	
	утреня	ru-RU	
	учитель	ru-RU	
	Фавор	ru-RU	
	Фаворский Свет	ru-RU	
	фелонь	ru-RU	
	филиокве	ru-RU	
	Филиппов пост	ru-RU	
	философия	ru-RU	
	фимиам	ru-RU	
	хвалитны	ru-RU	
	Херувимская песнь	ru-RU	
	херувимы	ru-RU	
	хилиазм	ru-RU	
	хиротесия	ru-RU	
	хиротония	ru-RU	
	хитон	ru-RU	
	хлеб	ru-RU	
	хлеб освященный	ru-RU	
	храм	ru-RU	
	храмовый праздник	ru-RU	
	храмовый святой	ru-RU	
	Христианин	ru-RU	
	христианская живопись	ru-RU	
	христианство	ru-RU	
	христология	ru-RU	
	Христос	ru-RU	
	христоцентризм	ru-RU	
	хула на Духа Святого	ru-RU	
	Цари Израильские	ru-RU	
	царские врата	ru-RU	
	Царство Божие	ru-RU	
	Царство Небесное	ru-RU	
	Царю Небесный	ru-RU	
	целибат	ru-RU	
	целование икон	ru-RU	
	целомудрие	ru-RU	
	цель воплощения	ru-RU	
	цель жизни	ru-RU	
	ценности	ru-RU	
	церковная дисциплина	ru-RU	
	церковное пение	ru-RU	
	церковное право	ru-RU	
	церковнославянский язык	ru-RU	
	церковнослужители	ru-RU	
	церковные каноны	ru-RU	
	церковный староста	ru-RU	
	церковный суд	ru-RU	
	церковный хор	ru-RU	
	Церковь	ru-RU	
	часовня	ru-RU	
	часослов	ru-RU	
	частный суд	ru-RU	
	часы	ru-RU	
	часы пасхальные	ru-RU	
	чаша святая	ru-RU	
	человек	ru-RU	
	человеколюбие Божье	ru-RU	
	чётки	ru-RU	
	четвероевангелие	ru-RU	
	четыредесятница	ru-RU	
	четьи-минеи	ru-RU	
	чин	ru-RU	
	чин пения 12 псалмов	ru-RU	
	чиновник	ru-RU	
	чинопоследование	ru-RU	
	число зверя	ru-RU	
	чистилище	ru-RU	
	чистота	ru-RU	
	чистый Четверг	ru-RU	
	чревоугодие	ru-RU	
	чтение	ru-RU	
	чтец	ru-RU	
	чувства	ru-RU	
	чудо	ru-RU	
	чудотворец	ru-RU	
	Шеол	ru-RU	
	шестоднев	ru-RU	
	шестопсалмие	ru-RU	
	щедрость	ru-RU	
	эволюция	ru-RU	
	эвтаназия	ru-RU	
	эгоизм	ru-RU	
	экзарх	ru-RU	
	экзархат	ru-RU	
	экзегетика	ru-RU	
	экзорцизм	ru-RU	
	экклесиарх	ru-RU	
	экклесиология	ru-RU	
	эконом	ru-RU	
	экономика и христианство	ru-RU	
	экстаз	ru-RU	
	экуменизм	ru-RU	
	эмоции	ru-RU	
	энергии Божественные	ru-RU	
	эортология	ru-RU	
	эсхатология	ru-RU	
	этика	ru-RU	
	этикет церковный	ru-RU	
	юбилей	ru-RU	
	юлианский календарь	ru-RU	
	юность	ru-RU	
	юродство	ru-RU	
	Явления Христа по Воскресении	ru-RU	
	язык	ru-RU	
	языков дар	ru-RU	
	язычество	ru-RU	
	яйцо пасхальное	ru-RU	
